t_ms,aX,aY,aZ,gX_yaw,gY,gZ_roll,sog_kn,cog_deg,roll_raw,amag
# BOOT millis=1200
1245,0.000,0.000,0.000,0.00,0.00,0.00,0.27,135.7,-0.0,0.00
1285,0.000,0.000,0.000,0.00,0.00,0.00,0.27,135.7,-0.0,0.00
1325,0.000,0.000,0.000,0.00,0.00,0.00,0.27,135.7,-0.0,0.00
1365,0.000,0.000,0.000,0.00,0.00,0.00,0.27,135.7,-0.0,0.00
1405,0.000,0.000,0.000,0.00,0.00,0.00,0.27,135.7,-0.0,0.00
1445,0.000,0.000,0.000,0.00,0.00,0.00,0.27,135.7,-0.0,0.00
1485,-0.130,0.140,9.580,0.12,-1.25,0.44,0.27,135.7,-132.9,9.58
1525,-0.160,0.150,9.600,0.12,-1.00,0.38,0.27,135.7,-136.8,9.60
1565,-0.130,0.120,9.610,-0.12,-0.88,0.38,0.27,135.7,-137.3,9.61
1605,-0.130,0.130,9.590,0.00,-0.62,0.31,0.27,135.7,-135.0,9.59
1645,-0.110,0.140,9.630,0.19,-0.50,0.38,0.27,135.7,-128.2,9.63
1685,-0.110,0.130,9.610,-0.06,-0.31,0.56,0.27,135.7,-130.2,9.61
1725,-0.100,0.140,9.660,-0.31,0.00,0.19,0.27,135.7,-125.5,9.66
1765,-0.090,0.110,9.640,-0.19,0.25,0.31,0.27,135.7,-129.3,9.64
1805,-0.090,0.110,9.640,-0.25,0.50,0.31,0.27,135.7,-129.3,9.64
1845,-0.100,0.100,9.620,-0.25,0.75,0.25,0.27,135.7,-135.0,9.62
1885,-0.110,0.110,9.620,-0.31,0.88,0.19,0.27,135.7,-135.0,9.62
1925,-0.140,0.080,9.590,-0.06,1.00,0.19,0.27,135.7,-150.3,9.59
1965,-0.130,0.100,9.590,-0.31,1.19,0.19,0.27,135.7,-142.4,9.59
2005,-0.150,0.090,9.580,-0.19,1.25,0.12,0.27,135.7,-149.0,9.58
2045,-0.130,0.060,9.460,-0.38,1.31,0.31,0.27,135.7,-155.2,9.46
2085,-0.150,0.110,9.470,-0.31,1.38,0.25,0.27,135.7,-143.7,9.47
2125,-0.200,0.090,9.530,-0.25,1.44,0.31,0.27,135.7,-155.8,9.53
2165,-0.210,0.040,9.510,-0.25,1.56,0.12,0.11,135.7,-169.2,9.51
2205,-0.170,0.070,9.510,-0.38,1.50,0.31,0.11,135.7,-157.6,9.51
2245,-0.170,0.060,9.490,-0.12,1.19,0.31,0.11,135.7,-160.6,9.49
2285,-0.200,0.060,9.510,-0.12,1.62,0.19,0.11,135.7,-163.3,9.51
2325,-0.190,0.080,9.530,0.00,1.44,0.12,0.11,135.7,-157.2,9.53
2365,-0.230,0.050,9.530,-0.06,1.44,0.12,0.11,135.7,-167.7,9.53
2405,-0.240,0.060,9.540,0.06,1.38,0.19,0.11,135.7,-166.0,9.54
2445,-0.270,0.050,9.530,0.00,1.31,0.12,0.11,135.7,-169.5,9.53
2485,-0.250,0.060,9.550,0.12,1.19,0.19,0.11,135.7,-166.5,9.55
2525,-0.270,0.090,9.520,0.19,1.00,0.25,0.11,135.7,-161.6,9.52
2565,-0.270,0.080,9.520,0.19,1.25,0.25,0.11,135.7,-163.5,9.52
2605,-0.290,0.090,9.550,0.19,0.88,0.25,0.11,135.7,-162.8,9.55
2645,-0.290,0.100,9.550,0.25,0.81,0.25,0.11,135.7,-161.0,9.55
2685,-0.300,0.100,9.570,0.12,0.81,0.06,0.11,135.7,-161.6,9.58
2725,-0.310,0.110,9.570,0.25,0.50,0.19,0.11,135.7,-160.5,9.58
2765,-0.320,0.100,9.550,0.31,0.38,0.31,0.11,135.7,-162.6,9.56
2805,-0.320,0.090,9.530,0.25,0.25,0.06,0.11,135.7,-164.3,9.54
2845,-0.330,0.090,9.550,0.25,0.06,0.19,0.11,135.7,-164.7,9.56
2885,-0.320,0.090,9.560,0.06,0.00,0.12,0.11,135.7,-164.3,9.57
2925,-0.300,0.110,9.540,0.19,-0.06,0.19,0.11,135.7,-159.9,9.55
2965,-0.300,0.080,9.550,0.12,-0.25,0.19,0.11,135.7,-165.1,9.56
3005,-0.310,0.120,9.540,0.12,-0.38,0.38,0.11,135.7,-158.8,9.55
3045,-0.310,0.070,9.550,0.12,-0.69,0.25,0.11,135.7,-167.3,9.56
